title,summary,update_at,external_link,entity,created_at,classification_id,rtype_id,gtype,is_active
memorias institucionales 2022 – 2023,memorias institucionales 2022 – 2023,7/27/2023 20:18,https://adn.gob.do/transparencia/download/1584/memorias-institucionales/5275/memorias-institucionales-2022-2023.pdf,Alcaldía del distrito Nacional,7/27/2023 20:18,17,27,link,True
memorias 2020-2021,memorias 2020-2021,12/13/2021 16:07,https://adn.gob.do/transparencia/download/1584/memorias-institucionales/596/memorias-2020-2021.pdf,Alcaldía del distrito Nacional,6/4/2021 16:01,17,27,link,True
memoria de gestion 2023-2024,memoria de gestion 2023-2024,11/25/2024 15:39,https://adn.gob.do/transparencia/download/1584/memorias-institucionales/9798/memoria-de-gestion-2023-2024.pdf,Alcaldía del distrito Nacional,11/25/2024 15:37,17,27,link,True
"memoria de gestion 2021 - 2022, alcaldia del distrito nacional","memoria de gestion 2021 - 2022, alcaldia del distrito nacional",5/17/2022 13:14,https://adn.gob.do/transparencia/download/1584/memorias-institucionales/2144/memoria-de-gestion-2021-2022-alcaldia-del-distrito-nacional-3.pdf,Alcaldía del distrito Nacional,4/26/2022 19:33,17,27,link,True
"memoria de gestion 2019 - 2020, alcaldia del distrito nacional","memoria de gestion 2019 - 2020, alcaldia del distrito nacional",4/25/2023 16:09,https://adn.gob.do/transparencia/download/1584/memorias-institucionales/4666/memoria-de-gestion-2019-2020-alcaldia-del-distrito-nacional.pdf,Alcaldía del distrito Nacional,4/25/2023 16:05,17,27,link,True
documento plan municipal de desarrollo - 2020-2024,documento plan municipal de desarrollo - 2020-2024,10/30/2024 13:52,https://adn.gob.do/transparencia/download/1859/plan-de-desarrollo-municipalpdm/9710/documento-plan-municipal-de-desarrollo-2020-2024.pdf,Alcaldía del distrito Nacional,10/30/2024 13:51,17,26,link,True
plan estrategico del distrito nacional(27jul2020 ed22sep2021),plan estrategico del distrito nacional(27jul2020 ed22sep2021),12/13/2021 15:36,https://adn.gob.do/transparencia/download/109/plan-estrategico/549/plan-estrategico-del-distrito-nacional27jul2020-ed22sep2021.pdf,Alcaldía del distrito Nacional,9/22/2021 15:01,17,28,link,True
lineamientos del plan estrategico del distrito nacional 2030,lineamientos del plan estrategico del distrito nacional 2030,6/20/2022 15:58,https://adn.gob.do/transparencia/download/109/plan-estrategico/2406/lineamientos-del-plan-estrategico-del-distrito-nacional-2030.pdf,Alcaldía del distrito Nacional,6/20/2022 15:58,17,28,link,True
plan operativo anual 2024,plan operativo anual 2024,1/16/2024 16:41,https://adn.gob.do/transparencia/download/1573/2024/7711/plan-operativo-anual-2024.pdf,Alcaldía del distrito Nacional,1/16/2024 16:40,17,28,link,True
informe seguimiento poa t3 2024 julio - septiembre,informe seguimiento poa t3 2024 julio - septiembre,10/31/2024 18:23,https://adn.gob.do/transparencia/download/1574/informes/9712/informe-seguimiento-poa-t3-2024-julio-septiembre.pdf,Alcaldía del distrito Nacional,10/31/2024 18:22,17,13,link,True
informe seguimiento poa t2 2024 abril - junio,informe seguimiento poa t2 2024 abril - junio,8/2/2024 12:30,https://adn.gob.do/transparencia/download/1574/informes/9108/informe-seguimiento-poa-t2-2024-abril-junio.pdf,Alcaldía del distrito Nacional,8/2/2024 12:29,17,13,link,True
informe seguimiento poa t1 2024 enero - marzo,informe seguimiento poa t1 2024 enero - marzo,6/4/2024 20:15,https://adn.gob.do/transparencia/download/1574/infoforme-seguimientormes/8686/in-poa-t1-2024-enero-marzo.pdf,Alcaldía del distrito Nacional,6/4/2024 20:15,17,13,link,True
plan operativo anual 2023,plan operativo anual 2023,1/19/2023 19:44,https://adn.gob.do/transparencia/download/477/2023/3471/plan-operativo-anual-2023.pdf,Alcaldía del distrito Nacional,1/19/2023 19:42,17,28,link,True
informe seguimiento poa t4 2023 octubre - diciembre,informe seguimiento poa t4 2023 octubre - diciembre,2/5/2024 16:03,https://adn.gob.do/transparencia/download/932/informes/7837/informe-seguimiento-poa-t4-2023-octubre-diciembre.pdf,Alcaldía del distrito Nacional,2/5/2024 16:03,17,13,link,True
informe seguimiento poa t3 2023 julio - septiembre,informe seguimiento poa t3 2023 julio - septiembre,11/2/2023 14:32,https://adn.gob.do/transparencia/download/932/informes/7372/informe-seguimiento-poa-t3-2023-julio-septiembre.pdf,Alcaldía del distrito Nacional,11/2/2023 14:31,17,13,link,True
informe seguimiento poa t2-2023 (abril-junio),informe seguimiento poa t2-2023 (abril-junio),8/1/2023 12:42,https://adn.gob.do/transparencia/download/932/informes/5282/informe-seguimiento-poa-t2-2023-abril-junio.pdf,Alcaldía del distrito Nacional,8/1/2023 12:42,17,13,link,True
informe seguimiento poa t1-2023 (enero-marzo),informe seguimiento poa t1-2023 (enero-marzo),8/1/2023 12:42,https://adn.gob.do/transparencia/download/932/informes/5281/informe-seguimiento-poa-t1-2023-enero-marzo.pdf,Alcaldía del distrito Nacional,8/1/2023 12:42,17,13,link,True
plan operativo anual(poa)  2022,plan operativo anual(poa)  2022,4/26/2022 15:52,https://adn.gob.do/transparencia/download/475/2022/2143/plan-operativo-anualpoa-2022.pdf,Alcaldía del distrito Nacional,1/12/2022 15:51,17,28,link,True
guia para elaboracion y monitoreo de poa,guia para elaboracion y monitoreo de poa,6/20/2022 15:59,https://adn.gob.do/transparencia/download/475/2022/2407/guia-para-elaboracion-y-monitoreo-de-poa.pdf,Alcaldía del distrito Nacional,6/20/2022 15:58,17,13,link,True
guia para elaboracion memoria anual,guia para elaboracion memoria anual,6/20/2022 15:59,https://adn.gob.do/transparencia/download/475/2022/2405/guia-para-elaboracion-memoria-anual.pdf,Alcaldía del distrito Nacional,6/20/2022 15:58,17,13,link,True
ficha poa,ficha poa,6/20/2022 16:00,https://adn.gob.do/transparencia/download/475/2022/2408/ficha-poa.xls,Alcaldía del distrito Nacional,6/20/2022 15:58,17,13,link,True
informe de seguimiento poa 2022 (abril – junio).,informe de seguimiento poa 2022 (abril – junio).,7/29/2022 19:13,https://adn.gob.do/transparencia/download/476/informes/2542/informe-de-seguimiento-poa-2022-abril-junio.pdf,Alcaldía del distrito Nacional,7/29/2022 19:10,17,13,link,True
informe de seguimiento plan operativo (poa) octubre - diciembre 2022,informe de seguimiento plan operativo (poa) octubre - diciembre 2022,2/24/2023 14:19,https://adn.gob.do/transparencia/download/476/informes/3643/informe-de-seguimiento-plan-operativo-poa-octubre-diciembre-2022.pdf,Alcaldía del distrito Nacional,2/24/2023 14:18,17,13,link,True
informe de seguimiento poa 2022 t1 (enero – marzo).,informe de seguimiento poa 2022 t1 (enero – marzo).,7/1/2022 16:08,https://adn.gob.do/transparencia/download/476/informes/2451/informe-de-seguimiento-poa-2022-t1-enero-marzo.pdf,Alcaldía del distrito Nacional,7/1/2022 16:06,17,13,link,True
informe de seguimiento poa (julio - septiembre)t3-2022,informe de seguimiento poa (julio - septiembre)t3-2022,11/4/2022 12:58,https://adn.gob.do/transparencia/download/476/informes/3128/informe-de-seguimiento-poa-julio-septiembret3-2022.pdf,Alcaldía del distrito Nacional,11/4/2022 12:57,17,13,link,True
plan operativo anual(poa) 2021,plan operativo anual(poa) 2021,12/13/2021 15:36,https://adn.gob.do/transparencia/download/663/2021/581/plan-operativo-anualpoa-2021.pdf,Alcaldía del distrito Nacional,9/22/2021 15:33,17,28,link,True
plan operativo anual(poa) 2020,plan operativo anual(poa) 2020,4/20/2023 15:05,https://adn.gob.do/transparencia/download/769/2020/4515/plan-operativo-anualpoa-2020.pdf,Alcaldía del distrito Nacional,4/20/2023 15:04,17,28,link,True
plan operativo anual(poa) 2019,plan operativo anual(poa) 2019,4/20/2023 15:20,https://adn.gob.do/transparencia/download/770/2019/4516/plan-operativo-anualpoa-2019.pdf,Alcaldía del distrito Nacional,4/20/2023 15:08,17,28,link,True
plan operativo anual(poa) 2018,plan operativo anual(poa) 2018,4/20/2023 15:24,https://adn.gob.do/transparencia/download/771/2018/4517/plan-operativo-anualpoa-2018.pdf,Alcaldía del distrito Nacional,4/20/2023 15:23,17,28,link,True
resolucion no. 67 2023 que aprueba montos topes ppm 2024,resolucion no. 67 2023 que aprueba montos topes ppm 2024,3/26/2024 18:53,https://adn.gob.do/transparencia/download/1674/2024/8346/resolucion-no-67-2023-que-aprueba-montos-topes-ppm-2024.pdf,Alcaldía del distrito Nacional,3/26/2024 18:48,17,13,link,True
plan de inversion municipal - ppm  2024,plan de inversion municipal - ppm  2024,4/18/2024 19:54,https://adn.gob.do/transparencia/download/1674/2024/8471/plan-de-inversion-municipal-ppm-2024.pdf,Alcaldía del distrito Nacional,4/18/2024 19:54,17,28,link,True
informe rendicion de cuentas ppm-2024 enero - marzo 2024,informe rendicion de cuentas ppm-2024 enero - marzo 2024,4/12/2024 20:34,https://adn.gob.do/transparencia/download/1674/2024/8451/informe-rendicion-de-cuentas-ppm-2024-enero-marzo-2024.pdf,Alcaldía del distrito Nacional,4/12/2024 20:33,17,13,link,True
informe rendicion de cuentas ppm-2024 abril - junio 2024,informe rendicion de cuentas ppm-2024 abril - junio 2024,7/17/2024 19:52,https://adn.gob.do/transparencia/download/1674/2024/8984/informe-rendicion-de-cuentas-ppm-2024-abril-junio-2024.pdf,Alcaldía del distrito Nacional,7/17/2024 19:51,17,13,link,True
informe rendicion de cuentas avances o. ppm-2024 al 1 de septiembre 2024,informe rendicion de cuentas avances o. ppm-2024 al 1 de septiembre 2024,9/10/2024 14:43,https://adn.gob.do/transparencia/download/1674/2024/9282/informe-rendicion-de-cuentas-avances-o-ppm-2024-al-1-de-septiembre-2024.pdf,Alcaldía del distrito Nacional,9/10/2024 14:43,17,13,link,True
